Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Mrežni paketi,1000,20,Rabin-Karp,0.019,1,2.00,Da
Mrežni paketi,1000,20,Boyer-Moore,0.005,1,1.00,Da
Mrežni paketi,10000,3,Naivni,0.192,1,1.00,Da
Mrežni paketi,10000,3,KMP,0.357,1,0.01,Da
Mrežni paketi,10000,3,Rabin-Karp,0.185,1,2.00,Da
Mrežni paketi,10000,3,Boyer-Moore,0.110,1,1.00,Da
Mrežni paketi,10000,10,Naivni,0.202,1,1.00,Da
Mrežni paketi,10000,10,KMP,0.376,1,0.04,Da
Mrežni paketi,10000,10,Rabin-Karp,0.193,1,2.00,Da
Mrežni paketi,10000,10,Boyer-Moore,0.037,1,1.00,Da
Mrežni paketi,10000,20,Naivni,0.237,1,1.00,Da
Mrežni paketi,10000,20,KMP,0.372,1,0.08,Da
Mrežni paketi,10000,20,Rabin-Karp,0.186,1,2.00,Da
Mrežni paketi,10000,20,Boyer-Moore,0.020,1,1.00,Da
Mrežni paketi,100000,3,Naivni,1.915,1,1.00,Da
Mrežni paketi,100000,3,KMP,3.681,1,0.01,Da
Mrežni paketi,100000,3,Rabin-Karp,1.864,1,2.00,Da
Mrežni paketi,100000,3,Boyer-Moore,1.099,1,1.00,Da
Mrežni paketi,100000,10,Naivni,1.923,1,1.00,Da
Mrežni paketi,100000,10,KMP,3.668,1,0.04,Da
Mrežni paketi,100000,10,Rabin-Karp,1.889,1,2.00,Da
Mrežni paketi,100000,10,Boyer-Moore,0.329,1,1.00,Da
Mrežni paketi,100000,20,Naivni,1.931,1,1.00,Da
Mrežni paketi,100000,20,KMP,3.589,1,0.08,Da
Mrežni paketi,100000,20,Rabin-Karp,1.969,1,2.00,Da
Mrežni paketi,100000,20,Boyer-Moore,0.170,1,1.00,Da
Binarni uzorci,1000,3,Naivni,0.020,1,1.00,Da
Binarni uzorci,1000,3,KMP,0.037,1,0.01,Da
Binarni uzorci,1000,3,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,3,Boyer-Moore,0.014,1,1.00,Da
Binarni uzorci,1000,10,Naivni,0.020,1,1.00,Da
Binarni uzorci,1000,10,KMP,0.037,1,0.04,Da
Binarni uzorci,1000,10,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,10,Boyer-Moore,0.006,1,1.00,Da
