Algorithm,Test_Category,Data_Type,Text_Size_Bytes,Pattern_Size_Bytes,Execution_Time_Ms,Memory_Usage_KB,Matches_Found,Is_Correct,L1_Cache_Misses,L2_Cache_Misses,Instructions,Cache_Miss_Rate,Efficiency_Score,Cache_Efficiency,Cache_Data_Available
KMP,Standard,System Logs,10000,4,0.398667,0.016,52,Yes,0,0,410391,0.00000000,99.804,100.000,Yes
Rabin-Karp,Standard,System Logs,10000,4,0.196667,2.000,52,Yes,0,0,193975,0.00000000,98.035,100.000,Yes
Boyer-Moore,Standard,System Logs,10000,4,0.105333,1.000,52,Yes,0,0,99020,0.00000000,99.015,100.000,Yes
Naive,Standard,System Logs,10000,16,0.195000,0.000,1,Yes,0,0,196324,0.00000000,99.911,100.000,Yes
KMP,Standard,System Logs,10000,16,0.390000,0.062,1,Yes,0,0,376474,0.00000000,99.764,100.000,Yes
Rabin-Karp,Standard,System Logs,10000,16,0.185667,2.000,1,Yes,0,0,185933,0.00000000,98.040,100.000,Yes
Boyer-Moore,Standard,System Logs,10000,16,0.030000,1.000,1,Yes,0,0,30166,0.00000000,99.049,100.000,Yes
Naive,Standard,System Logs,10000,32,0.213000,0.000,1,Yes,0,0,214000,0.00000000,99.903,100.000,Yes
KMP,Standard,System Logs,10000,32,0.342333,0.125,1,Yes,0,0,346908,0.00000000,99.727,100.000,Yes
Rabin-Karp,Standard,System Logs,10000,32,0.192000,2.000,1,Yes,0,0,187766,0.00000000,98.038,100.000,Yes
Boyer-Moore,Standard,System Logs,10000,32,0.020667,1.000,1,Yes,0,0,21670,0.00000000,99.053,100.000,Yes
Naive,Standard,System Logs,100000,4,2.117333,0.000,522,Yes,6248,0,2126616,0.00293800,99.036,99.706,Yes
KMP,Standard,System Logs,100000,4,3.686333,0.016,522,Yes,6248,0,3692575,0.00169204,98.307,99.831,Yes
Rabin-Karp,Standard,System Logs,100000,4,1.952000,2.000,522,Yes,6248,0,1959558,0.00318847,97.236,99.681,Yes
