Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Mrežni paketi,1000,20,Rabin-Karp,0.020,1,9.0,Da
Mrežni paketi,1000,20,Boyer-Moore,0.005,1,12.0,Da
Mrežni paketi,10000,3,Naivni,0.198,1,5.0,Da
Mrežni paketi,10000,3,KMP,0.357,1,8.0,Da
Mrežni paketi,10000,3,Rabin-Karp,0.185,1,9.0,Da
Mrežni paketi,10000,3,Boyer-Moore,0.130,1,12.0,Da
Mrežni paketi,10000,10,Naivni,0.188,1,5.0,Da
Mrežni paketi,10000,10,KMP,0.357,1,8.0,Da
Mrežni paketi,10000,10,Rabin-Karp,0.187,1,9.0,Da
Mrežni paketi,10000,10,Boyer-Moore,0.037,1,12.0,Da
Mrežni paketi,10000,20,Naivni,0.188,1,5.0,Da
Mrežni paketi,10000,20,KMP,0.357,1,8.0,Da
Mrežni paketi,10000,20,Rabin-Karp,0.199,1,9.0,Da
Mrežni paketi,10000,20,Boyer-Moore,0.020,1,12.0,Da
Mrežni paketi,100000,3,Naivni,2.061,1,5.0,Da
Mrežni paketi,100000,3,KMP,3.733,1,8.0,Da
Mrežni paketi,100000,3,Rabin-Karp,1.889,1,9.0,Da
Mrežni paketi,100000,3,Boyer-Moore,1.220,1,12.0,Da
Mrežni paketi,100000,10,Naivni,1.904,1,5.0,Da
Mrežni paketi,100000,10,KMP,3.629,1,8.0,Da
Mrežni paketi,100000,10,Rabin-Karp,1.994,1,9.0,Da
Mrežni paketi,100000,10,Boyer-Moore,0.363,1,12.0,Da
Mrežni paketi,100000,20,Naivni,1.889,1,5.0,Da
Mrežni paketi,100000,20,KMP,3.615,1,8.0,Da
Mrežni paketi,100000,20,Rabin-Karp,1.916,1,9.0,Da
Mrežni paketi,100000,20,Boyer-Moore,0.182,1,12.0,Da
Binarni uzorci,1000,3,Naivni,0.020,1,5.0,Da
Binarni uzorci,1000,3,KMP,0.038,1,8.0,Da
Binarni uzorci,1000,3,Rabin-Karp,0.019,1,9.0,Da
Binarni uzorci,1000,3,Boyer-Moore,0.016,1,12.0,Da
