Algorithm,Cache_Miss_Rate,Execution_Time_Ms,Text_Size_Category,Correlation_Group
Boyer-Moore,0.00000000,0.024000,Small,Standard
Naive,0.00000000,0.176000,Small,Standard
KMP,0.00000000,0.358667,Small,Standard
Rabin-Karp,0.00000000,0.188000,Small,Standard
Boyer-Moore,0.00000000,0.014000,Small,Standard
Naive,0.00319803,1.930000,Medium,Standard
KMP,0.00166825,3.911333,Medium,Standard
Rabin-Karp,0.00315611,1.953667,Medium,Standard
Boyer-Moore,0.00763457,0.797667,Medium,Standard
Naive,0.01275252,2.131000,Medium,Standard
KMP,0.00686915,3.651000,Medium,Standard
Rabin-Karp,0.01315418,1.871667,Medium,Standard
Boyer-Moore,0.12081484,0.208000,Medium,Standard
Naive,0.02727424,1.800667,Medium,Standard
KMP,0.01490064,3.342667,Medium,Standard
Rabin-Karp,0.02655534,1.872000,Medium,Standard
Boyer-Moore,0.47513308,0.103000,Medium,Standard
Naive,0.00000000,0.330667,Small,Cache Boundary
KMP,0.00000000,0.600000,Small,Cache Boundary
Rabin-Karp,0.00000000,0.307333,Small,Cache Boundary
Boyer-Moore,0.00000000,0.140333,Small,Cache Boundary
Naive,0.00000000,0.317000,Small,Cache Boundary
KMP,0.00000000,0.593667,Small,Cache Boundary
Rabin-Karp,0.00000000,0.357667,Small,Cache Boundary
Boyer-Moore,0.00000000,0.043667,Small,Cache Boundary
Naive,0.00000000,0.641667,Medium,Cache Boundary
KMP,0.00000000,1.224333,Medium,Cache Boundary
Rabin-Karp,0.00000000,0.625000,Medium,Cache Boundary
Boyer-Moore,0.00000000,0.289667,Medium,Cache Boundary
Naive,0.00000000,0.646667,Medium,Cache Boundary
KMP,0.00000000,1.194333,Medium,Cache Boundary
Rabin-Karp,0.00000000,0.611333,Medium,Cache Boundary
Boyer-Moore,0.00000000,0.077333,Medium,Cache Boundary
Naive,0.00000000,1.280333,Medium,Cache Boundary
KMP,0.00000000,2.369333,Medium,Cache Boundary
Rabin-Karp,0.00000000,1.215333,Medium,Cache Boundary
Boyer-Moore,0.00000000,0.547000,Medium,Cache Boundary
Naive,0.00000000,1.340667,Medium,Cache Boundary
KMP,0.00000000,2.463000,Medium,Cache Boundary
Rabin-Karp,0.00000000,1.254333,Medium,Cache Boundary
Boyer-Moore,0.00000000,0.152000,Medium,Cache Boundary
Naive,0.00305559,2.625333,Medium,Cache Boundary
KMP,0.00152069,4.725000,Medium,Cache Boundary
Rabin-Karp,0.00336782,2.449333,Medium,Cache Boundary
Boyer-Moore,0.00749806,1.102667,Medium,Cache Boundary
Naive,0.01268869,2.540333,Medium,Cache Boundary
KMP,0.00694144,4.710667,Medium,Cache Boundary
Rabin-Karp,0.01347597,2.431667,Medium,Cache Boundary
Boyer-Moore,0.11227070,0.292333,Medium,Cache Boundary
Naive,0.00323013,10.107000,Large,Cache Boundary
KMP,0.00172271,18.859000,Large,Cache Boundary
Rabin-Karp,0.00337280,9.724000,Large,Cache Boundary
Boyer-Moore,0.00755218,4.335000,Large,Cache Boundary
Naive,0.01278801,10.122000,Large,Cache Boundary
KMP,0.00622168,18.889000,Large,Cache Boundary
Rabin-Karp,0.01349358,9.721333,Large,Cache Boundary
Boyer-Moore,0.11143806,1.176667,Large,Cache Boundary
Naive,0.00316167,20.334667,Large,Cache Boundary
KMP,0.00166584,37.897000,Large,Cache Boundary
Rabin-Karp,0.00333935,20.049667,Large,Cache Boundary
Boyer-Moore,0.00749690,8.698000,Large,Cache Boundary
Naive,0.01277807,20.282667,Large,Cache Boundary
KMP,0.00688135,37.874333,Large,Cache Boundary
Rabin-Karp,0.01337880,19.598333,Large,Cache Boundary
Boyer-Moore,0.10850910,2.421333,Large,Cache Boundary
Naive,0.00317648,81.753000,Large,Cache Boundary
KMP,0.00171643,153.719667,Large,Cache Boundary
Rabin-Karp,0.00333144,84.014000,Large,Cache Boundary
Boyer-Moore,0.00754279,34.722000,Large,Cache Boundary
Naive,0.01289247,81.572667,Large,Cache Boundary
KMP,0.00688903,152.335667,Large,Cache Boundary
Rabin-Karp,0.01256159,77.993000,Large,Cache Boundary
Boyer-Moore,0.10902920,9.562333,Large,Cache Boundary
