Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost,L1 Cache Misses,L2 Cache Misses,Instructions,Cache Miss Rate,Cache Data Available
Cache Boundary Test,4194304,32,Naivni,76.637,1,1.00,Da,2097152,262144,75786929,0.027672,Da
Cache Boundary Test,4194304,32,KMP,140.980,1,0.12,Da,2097152,262144,140853049,0.014889,Da
Cache Boundary Test,4194304,32,Rabin-Karp,77.497,1,2.00,Da,2097152,262144,77636699,0.027012,Da
Cache Boundary Test,4194304,32,Boyer-Moore,5.204,1,1.00,Da,2097152,262144,5227091,0.401208,Da
Cache Boundary Test,8388608,4,Naivni,164.185,2,1.00,Da,524288,65536,162328004,0.003230,Da
Cache Boundary Test,8388608,4,KMP,304.244,2,0.02,Da,524288,65536,303656870,0.001727,Da
Cache Boundary Test,8388608,4,Rabin-Karp,155.756,2,2.00,Da,524288,65536,156685225,0.003346,Da
Cache Boundary Test,8388608,4,Boyer-Moore,69.835,2,1.00,Da,524288,65536,69711012,0.007521,Da
Cache Boundary Test,8388608,16,Naivni,162.549,1,1.00,Da,2097152,262144,163362183,0.012837,Da
Cache Boundary Test,8388608,16,KMP,305.239,1,0.06,Da,2097152,262144,305245766,0.006870,Da
Cache Boundary Test,8388608,16,Rabin-Karp,156.770,1,2.00,Da,2097152,262144,157327229,0.013330,Da
Cache Boundary Test,8388608,16,Boyer-Moore,18.864,1,1.00,Da,2097152,262144,19012804,0.110302,Da
Cache Boundary Test,8388608,32,Naivni,152.465,1,1.00,Da,4194304,524288,153437337,0.027336,Da
Cache Boundary Test,8388608,32,KMP,281.574,1,0.12,Da,4194304,524288,283098679,0.014816,Da
Cache Boundary Test,8388608,32,Rabin-Karp,156.737,1,2.00,Da,4194304,524288,156436541,0.026812,Da
Cache Boundary Test,8388608,32,Boyer-Moore,10.359,1,1.00,Da,4194304,524288,10315570,0.406599,Da
